time,percentage,div_id
1.002,4,"['2', '3']"
2.004,4,"['2', '3']"
3.005,4,"['2', '3']"
4.006,4,"['2', '3']"
5.008,4,"['2', '3']"
6.009,4,"['2', '3']"
7.011,4,"['2', '3', '4', '5']"
8.012,6,"['2', '3', '4', '5']"
9.014,6,"['2', '3', '4', '5']"
10.014,6,"['2', '3', '4', '5']"
11.015,6,"['3', '4', '5', '6', '7']"
12.016,8,"['3', '4', '5', '6', '7']"
13.017,8,"['3', '4', '5', '6', '7']"
14.018,8,"['3', '4', '5', '6', '7']"
15.019,8,"['3', '4', '5', '6', '7']"
16.02,8,"['3', '4', '5', '6', '7']"
17.022,8,"['3', '4', '5', '6', '7']"
18.022,8,"['3', '4', '5', '6', '7']"
19.024,8,"['3', '4', '5', '6', '7']"
20.025,8,"['3', '4', '5', '6', '7']"
21.027,8,"['3', '4', '5', '6', '7']"
22.029,8,"['4', '5', '6', '7', '8']"
23.03,9,"['4', '5', '6', '7', '8']"
24.032,9,"['4', '5', '6', '7', '8']"
25.033,9,"['4', '5', '6', '7', '8']"
26.034,9,"['4', '5', '6', '7', '8']"
27.035,9,"['4', '5', '6', '7', '8']"
28.036,9,"['4', '5', '6', '7', '8']"
29.037,9,"['4', '5', '6', '7', '8']"
30.038,9,"['4', '5', '6', '7', '8']"
31.039,9,"['4', '5', '6', '7', '8']"
32.041,9,"['6', '7', '8', '9']"
33.043,10,"['6', '7', '8', '9']"
34.044,10,"['6', '7', '8', '9']"
35.045,10,"['6', '7', '8', '9']"
36.046,10,"['6', '7', '8', '9']"
37.047,10,"['6', '7', '8', '9']"
38.048,10,"['6', '7', '8', '9']"
39.049,10,"['6', '7', '8', '9']"
40.05,10,"['6', '7', '8', '9']"
41.05,10,"['8', '9']"
42.051,10,"['11', '12', '13', '14', '15', '16']"
43.053,17,"['11', '12', '13', '14', '15', '16']"
44.053,17,"['13', '14', '15', '16', '17', '18']"
45.054,19,"['19', '20', '21', '22', '23']"
46.055,24,"['19', '20', '21', '22', '23']"
47.055,24,"['27', '28', '29', '30', '31']"
